6216,手机游戏、手机游戏--音乐游戏,1081;4990;7830;8953;116005;115546;7282;5194;10553;14211,节奏大师;完美钢琴;恋舞OL;炫舞小灵通;劲舞团;爱上钢琴Online;天天炫舞;乐动舞指;乐动时代;中国好声音官方手游-全民偶像
6218,手机游戏、手机游戏--射击游戏,100478;11730;8073;14899;10973;8645;4428;119308;101973;6863,火线指令- 诺曼底;3D坦克争霸;反恐精英CMSWAT;魂斗罗进化革命;杀手2-影子阴谋;狙击行动3D-代号猎鹰;全民枪王;射箭大师 3D;使命召唤-突击队;熊出没之森林保卫战
78,手机游戏、手机游戏--休闲游戏,21453;326;255;115514;924;102;5337;513;119793;1767,迷你世界;天天爱消除;球球大作战;贪吃蛇大作战;宾果消消乐;PopStar消灭星星;钢琴块2;我的汤姆猫;消消乐海滨假日;QQ游戏
12366,手机游戏、手机游戏--休闲游戏,8824;5720;5672;6547;1962;16192;12173;8534;5948;5158,水果连连看3;欢乐盖大楼;消灭糖果;冰雪奇缘-冰纷乐;消灭星星3;开心捕鱼;别踩白块儿4;陌陌熊熊消;天天星连萌;啪啪泡泡龙2016
14416,手机游戏、手机游戏--动作游戏,17863;6336;5525;33376;3839;15353;31270;13915;10327,宫爆-老奶奶家族篇2;果宝特攻;热血奥特超人;暗黑黎明;超级飞侠-飞机跑酷;无尽之剑命运;向量跑酷;天天跑酷;九龙战
14417,手机游戏、手机游戏--棋牌游戏,3913;12579;10533;4345;5460;1221;8700;4284;13185;3533,博雅四人斗地主;空当接龙;南通长牌;欢乐大赢家;全民炸翻天;二人斗地主;爱掼蛋;我爱斗地主;快乐斗地主;酷酷斗地主
108629,手机游戏、手机游戏--休闲游戏,5271;16766;20639;100552;5725;8019;33824;6752;116423;9340,爸爸去哪儿2;切水果消消乐;宝石仙境-天天消宝石;天天打波利;全民连连消;3D桌球;熊猫泡泡;天天街机捕鱼;消灭星星(中文版);七彩祖玛2
10327,手机游戏、手机游戏--动作游戏,3956;17863;6336;5525;33376;3839;15353;31270;13915;14416,全民无双;宫爆-老奶奶家族篇2;果宝特攻;热血奥特超人;暗黑黎明;超级飞侠-飞机跑酷;无尽之剑命运;向量跑酷;天天跑酷;横扫西游
6236,手机游戏、手机游戏--动作游戏,3958;16998;19135;10948;11265;4032;36770;3956;17863;6336,神庙逃亡 魔境仙踪OZ;现代战争4;永恒战士2;神魔2.0;全民奇迹;六龙争霸3D;全民斗战神;全民无双;宫爆-老奶奶家族篇2;果宝特攻
8285,手机游戏、手机游戏--模拟经营,14860;12029;2882;7155;13683;101756;124158;20699;118924;118296,怪物的世界;晴天小狗;全民小镇;钓鱼看漂;合战忍者村;猎鹿人2014;碧蓝航线;大富翁4Fun-圣诞狂欢;辐射-庇护所;模拟城市-建造
102,手机游戏、手机游戏--休闲游戏,21453;326;255;115514;924;5337;513;119793;1767;1283,迷你世界;天天爱消除;球球大作战;贪吃蛇大作战;宾果消消乐;钢琴块2;我的汤姆猫;消消乐海滨假日;QQ游戏;腾讯桌球
8296,手机游戏、手机游戏--跑酷游戏,1611;2381;853;24555;8879;100695;1698;4618;8128;4028,熊出没之熊大快跑;神偷奶爸小黄人快跑;僵尸尖叫;永不言弃!!;铠甲勇士之英雄传说;草莓公主甜心跑酷;酷跑超人-奥特曼;喜羊羊快跑;奔跑吧兄弟;熊出没2-萌宠炫飞
2160,手机游戏、手机游戏--棋牌游戏,3539;3309;100486;5342;115450;2272;2025;4695;9356;5363,多乐保皇;斗地主;JJ麻将;达人麻将;闲来麻将;波克斗地主;小米斗地主;五子棋大师;欢乐五子棋;够级
4210,手机游戏、手机游戏--游戏助手,1568;1867;115676;3157;2990;46469;115486;1331;1334;1116,啪啪游戏厅;我的世界联机盒子;游戏蜂窝;小鸡模拟器;逆战助手;天天抢礼包;掌上TGP;地下城与勇士掌游宝;葫芦侠我的世界;英雄联盟LOL掌游宝
